nom_tecnica,display_nom,categoria,tipus_calor,descripcio,impacte_textura,impacte_sabor,requereix_eina,aplicable_a,notes_dietes
esferificacio,Esferificació,molecular,sense_calor,Transformar líquids aromàtics en esferes amb membrana fina i explosió en boca,gelificat|explosiu_boca,potencia_percepcio_sabor|joc_textura,bany_calcic|cullera_dosificadora,liquids|salsa|fruita|postres,requereix_additius_especifics
esferificacio_invertida,Esferificació invertida,molecular,sense_calor_o_suau,Crear esferes amb interior completament líquid utilitzant productes rics en calci,gelificat_flexible|cremosa,conserva_sabor_original|contrastos,bany_algina,liquids|lacti|postres,ideal_per_preparacions_amb_calci_alts
gelificacio,Gelificació avançada,molecular,sense_calor_o_suau,Convertir líquids en gels tallables o formes modelades (cubs “noodles”),gel|ferm|tallable,concentra_sabor|suavitza_intensitat,cassola|motlles,liquids|salsa|fruita|lacti|postres,compatible_vegans_si_agar
espaguetis_de_gel,Espaguetis de gel,molecular,suau,Formar fils o espaguetis de gel a partir de brous o sucs aromàtics, elastic|ferm,concentra_sabor|impacte_visual,tubs_silicona|bany_fred,liquids|salsa|postres,additius_com_agar_o_gellan
espuma,Escuma / Aire,molecular,sense_calor_o_suau,Transformar salses o líquids en escumes lleugeres amb gran superfície aromàtica,airejat|lleuger,potencia_aroma|dispersa_sabor,sifo_N2O|turbina,liquids|salsa|lacti|postres,requereix_lecticina_o_estabilitzants
emulsio,Emulsificació avançada,molecular,sense_calor_o_suau,Crear emulsions estables i etèries (vinagretes transparents maioneses lleugeres),cremosa|estable,potencia_sabor|neteja_amargor,turbina|batedora,liquids|salsa|oli|lacti,compatible_sense_lacti
deconstruccio,Deconstrucció,molecular,variable,Reinterpretar un plat separant-ne els elements essencials i transformant-los en textures noves,variable|conceptual,reorganitza_equilibri_sabors|sorpresa,cap_eina_especial,plats_complexos|postres|cereal_feculent|lacti|fruita,requereix_analisi_recepta_clàssica
encapsulacio,Encapsulació,molecular,sense_calor,Criar microcàpsules que alliberen un líquid intensificat en boca,perles|caviar_modern,explosiu_boca|maximitza_sabor,bany_algina|pipeta,liquids|salsa|oli|postres,requereix_additius_especifics
deshidratacio,Deshidratació creativa,molecular,baixa_o_mitjana_temp,Crear pols xips i cruixents retirant aigua dels ingredients,cruixent|pols,concentra_sabor|intensifica_dolçor,deshidratador|forn,fruita|verdura|lacti|altre|salsa,apta_per_vegans_si_sense_lacti
nitrogen_liquid,Nitrogen líquid,molecular,altissima,Refredar ràpidament per generar textures extremes i cristalls molt fins,cruixent_exterior|cremosa_interior,baixa_amargor|potencia_sensacio_frescor,contenidor_nitrogen|pinces,postres|fruita|lacti|liquids|herbes,requereix_seguritat_especial
infusio_rapida,Infusió ràpida (N2O),molecular,sense_calor,Aromatitzar líquids i olis en segons mitjançant pressió i alliberament,aromatitzat_intens|net,eleva_aroma|refina_matís,sifo_N2O,liquids|oli|herbes|fruita,ideal_per_aromes_delicades
plating_linia_minimal,Plating minimalista en línia,minimalista,sense_calor,Disposar pocs elements principals perfectament alineats i separats per espais amplis per destacar la netedat del plat,net|ordenat,centra_atencio_en_producte|sensacio_elegancia,anella_emplatat|pinces,proteina_animal|peix|verdura|lacti|postres,neutre_pel_que_fa_a_dietes
puntillisme_salsa,Puntillisme de salsa,minimalista,sense_calor,Aplicar petites gotes regulars de salsa o coulis com a element gràfic per reforçar visualment el producte,lleuger|fluid,reforca_sabor_principal|afegeix_matís_visual,cullera_dosificadora|pipeta,liquids|salsa|fruita|lacti|postres,controlar_sucres_en_postres
cruixent_fina,Fulla cruixent fina,minimalista,baixa_o_mitjana_temp,Crear una làmina ultraprima i cruixent per aportar textura i un punt d’alçada al plat,cruixent_fi|fracturable,aporta_contrast|equilibra_cremositat,forn|silpad,postres|fruita|lacti|verdura,comprovar_sense_gluten_si_es_cal
contrast_volums,Contrast de volums,minimalista,sense_calor_o_suau,Combinar un element pla amb un d’elevat per generar arquitectura visual i guiar la mirada,variable|estructurat,accentua_element_principal|sensacio_disseny,anella_emplatat|ganivet_filo_fi,proteina_animal|peix|verdura|postres,neutre_pel_que_fa_a_dietes
laminat_fi,Laminat molt fi,minimalista,sense_calor_o_suau,Tallar l’ingredient principal en làmines molt primes per obtenir transparència i delicadesa,lamina_fina|delicat,suavitza_intensitat|millora_integracio_sabors,mandolina|ganivet_filo_fi,fruita|verdura|proteina_animal|peix,precaucio_alergens_si_cru
