id,nom,tipus_base,formalitat,alcohol,maridatge_ordre,maridatge_tipus_plat,cos,dolçor,acidesa,tanins,bombolles,preu_cost,es_general,alergen,dietes,va_be_amb_categoria_macro,va_be_amb_familia,va_be_amb_sabors,evita_sabors
beguda-vi-blanc-afruitat,Vi blanc jove afruitat,vi_blanc,formal|informal,si,ordre-primer,peix|marisc|pasta|arros|vegetaria|aperitiu,lleuger,sec,alta,baixos,cap,3,no,Sulfits,V|VG,peix|verdura|salsa|fruita,peix_blanc|alga|fons_cuina|reducció_vi,fresc|àcid|marí|herbaci|fruita,molt_dolç|xocolata
beguda-vi-blanc-sec,Vi blanc jove sec,vi_blanc,formal|informal,si,ordre-segon,peix|marisc|carn_blança|pasta|arros|vegetaria,mitja,sec,alta,baixos,cap,4,si,Sulfits,V|VG,peix|proteina_animal|verdura|salsa,peix_blanc|fons_cuina|reducció_vi,àcid|fresc|umami,molt_dolç|xocolata|fumat_fort
beguda-vi-blanc-bota,Vi blanc criança amb bota,vi_blanc,formal,si,ordre-segon,peix|marisc|carn_blança|pasta|arros|formatge_suau,ple,sec,mitja,baixos,cap,5,si,Sulfits,V|VG,peix|proteina_animal|cereal_feculent|lacti|salsa,peix_blau|fons_cuina|reducció_vi,gras|umami|torrat|fumat_suau,postres_dolces|àcid_molt_alt
beguda-vi-negre-jove,Vi negre jove,vi_negre,informal,si,ordre-segon,carn_blança|embotits|pasta|pizza|vegetaria,mitja,sec,mitja,mitjos,cap,3,no,Sulfits,V|VG,proteina_animal|cereal_feculent|salsa|fruita_seca,porcí|fons_cuina|reducció_vi,umami|torrat|herbaci|fruita,marí|postres_dolces
beguda-vi-negre-criança,Vi negre criança,vi_negre,informal|formal,si,ordre-segon,carn_blança|carn_vermella|guisat|embotits,mitja,sec,mitja,mitjos,cap,4,si,Sulfits,V|VG,proteina_animal|cereal_feculent|fruita_seca|salsa,vedella|porcí|reducció_vi,umami|gras|fumat|torrat,molt_dolç|postres_dolces
beguda-vi-negre-reserva,Vi negre reserva,vi_negre,formal,si,ordre-segon,carn_vermella|guisat|estofat|formatge_curat,ple,sec,mitja,alts,cap,5,no,Sulfits,V|VG,proteina_animal|cereal_feculent|fruita_seca|salsa,vedella|porcí|reducció_vi|fruit_seca_nou|fruit_seca_avellana,gras|umami|fumat|torrat|terros,àcid_fort|postres_dolces
beguda-vi-negre-gran-reserva,Vi negre gran reserva,vi_negre,formal,si,ordre-segon,carn_vermella|guisat|estofat|formatge_curat|carns_cacera,ple,sec,mitja,alts,cap,6,no,Sulfits,V|VG,proteina_animal|cereal_feculent|fruita_seca|salsa,vedella|porcí|reducció_vi|fruit_seca_nou|fruit_seca_avellana,gras|umami|fumat|torrat|terros,àcid_fort|postres_dolces
beguda-vi-rosat,Vi rosat,vi_rosat,informal,si,ordre-primer,aperitiu|embotits|amanida|pasta|peix,lleuger,sec,mitja,baixos,cap,3,no,Sulfits,V|VG,proteina_animal|peix|verdura|salsa,porcí|peix_blanc|gra_dolç,fresc|àcid|fruita|herbaci,postres_dolces
beguda-espumos-jove,Vi espumos jove,escumos,informal|formal,si,ordre-primer,aperitiu|peix|marisc|postres_acides,lleuger,sec,alta,baixos,intensa,3,no,Sulfits,V|VG,peix|marisc|verdura|fruita,peix_blanc|alga|fons_cuina|fruit_seca_ametlla,fresc|àcid|fruita|torrat_suau,postres_molt_dolces
beguda-espumos-reserva,Vi espumos reserva,escumos,informal|formal,si,ordre-segon,peix|marisc|carn_blança|postres_acides|aperitiu,mitja,sec,alta,baixos,intensa,4,si,Sulfits,V|VG,peix|proteina_animal|fruita|verdura|salsa,peix_blanc|alga|fons_cuina|fruit_seca_ametlla,fresc|àcid|fruita|torrat_suau|umami_suau,postres_molt_dolces
