nom_tecnica,display_nom,categoria,tipus_calor,descripcio,impacte_textura,impacte_sabor,requereix_eina,aplicable_a,notes_dietes,aplica_estat,aplica_macro,aplica_family,prioritat_macro,prioritat_family,evita_macro,evita_family,notes_seleccio
esferificacio,Esferificació,molecular,sense_calor,Transformar líquids aromàtics en esferes amb membrana fina i explosió en boca,gelificat|explosiu_boca,potencia_percepcio_sabor|joc_textura,bany_calcic|cullera_dosificadora,liquids|salsa|fruita|postres,requereix_additius_especifics,liquid|semi_liquid,sauce|other|sweet|sweetener|fruit,emulsion|acetic|asian_acetic|wine_reduction|sweet_sauce|cooking_stock|fermented|soy|soy_derivative,sauce>other>sweetener>fruit,cooking_stock>sweet_sauce>emulsion>wine_reduction>asian_acetic,,,Objectiu: un líquid aromàtic; evita sòlids si no hi ha base líquida al plat
esferificacio_invertida,Esferificació invertida,molecular,sense_calor_o_suau,Crear esferes amb interior completament líquid utilitzant productes rics en calci,gelificat_flexible|cremosa,conserva_sabor_original|contrastos,bany_algina,liquids|lacti|postres,ideal_per_preparacions_amb_calci_alts,liquid|semi_liquid,dairy|sweet|sweetener|sauce,dairy_yogurt|dairy_cream|basic_dairy|egg|emulsion|sweet_sauce,dairy>sauce>sweetener,dairy_yogurt>dairy_cream>basic_dairy>egg>emulsion,,,Objectiu: base rica i estable; ideal lactis o bases viscoses
gelificacio,Gelificació avançada,molecular,sense_calor_o_suau,Convertir líquids en gels tallables o formes modelades,gel|ferm|tallable,concentra_sabor|suavitza_intensitat,cassola|motlles,liquids|salsa|fruita|lacti|postres,compatible_vegans_si_agar,liquid|semi_liquid,sauce|other|fruit|dairy|sweet|sweetener,cooking_stock|emulsion|acetic|asian_acetic|wine_reduction|general_fruit|tropical_fruit|dairy_cream|dairy_yogurt|fermented|soy|soy_derivative,sauce>other>dairy>fruit,cooking_stock>emulsion>fermented>soy_derivative>general_fruit,,,Objectiu: base líquida/semi líquida per tallar en formes netes
espaguetis_de_gel,Espaguetis de gel,molecular,suau,Formar fils de gel a partir de brous o sucs aromàtics,elastic|ferm,concentra_sabor|impacte_visual,tubs_silicona|bany_fred,liquids|salsa|postres,additius_com_agar_o_gellan,liquid,sauce|other|sweet|sweetener,cooking_stock|acetic|asian_acetic|wine_reduction|sweet_sauce|fermented|soy|soy_derivative,other>sauce>sweetener,cooking_stock>wine_reduction>asian_acetic>sweet_sauce,,,Objectiu: líquid fluid per tubs; evita semi líquids densos
espuma,Escuma / Aire,molecular,sense_calor_o_suau,Transformar líquids en escumes lleugeres amb gran superfície aromàtica,airejat|lleuger,potencia_aroma|dispersa_sabor,sifo_N2O|turbina,liquids|salsa|lacti|postres,requereix_lecticina_o_estabilitzants,liquid|semi_liquid,sauce|dairy|other|sweet|sweetener,emulsion|dairy_cream|dairy_yogurt|basic_dairy|cooking_stock|acetic|asian_acetic|wine_reduction|sweet_sauce,dairy>sauce>other,dairy_cream>dairy_yogurt>emulsion>sweet_sauce>cooking_stock,,,Objectiu: base amb cos; si és massa aquosa baixa prioritat
emulsio_estable,Emulsió estable (xantana/lecitina),molecular,sense_calor_o_suau,Estabilitzar líquids per obtenir emulsions fines i napants,napant_fi|vellutat,homogeneitza_sabor|reforca_aroma,batedor_ma|turbina,liquids|salsa|oli,apta_per_vegans_segon_additiu,liquid|semi_liquid,sauce|other|fat,emulsion|acetic|asian_acetic|wine_reduction|cooking_stock|mediterranean_oils|general_fat,sauce>fat>other,emulsion>cooking_stock>wine_reduction>mediterranean_oils|general_fat,,,Objectiu: pujar viscositat; ideal previ a escuma o puntillisme
deconstruccio,Deconstrucció,molecular,variable,Separar elements essencials i reconfigurar textures per sorpresa i claredat,variable|conceptual,reorganitza_equilibri_sabors|sorpresa,cap_eina_especial,plats_complexos|postres|cereal_feculent|lacti|fruita,requereix_analisi_recepta,solid|semi_liquid|liquid,grain|dairy|fruit|protein_animal|vegetable|sauce,processed_cereal|rice|wheat|dairy_cheese|dairy_cream|general_fruit|tropical_fruit|emulsion|cooking_stock,protein_animal>grain>sauce>vegetable,processed_cereal>rice>wheat>cooking_stock>emulsion,,,Objectiu: tria base + salsa/stock + element principal
encapsulacio,Encapsulació,molecular,sense_calor,Microcàpsules o perles que alliberen líquid intens en boca,perles|caviar_modern,explosiu_boca|maximitza_sabor,bany_algina|pipeta,liquids|salsa|oli|postres,requereix_additius_especifics,liquid,fat|sauce|other|sweetener,mediterranean_oils|semi_toasted_oils|general_fat|emulsion|acetic|asian_acetic|wine_reduction|sweet_sauce|soy|soy_derivative,fat>sauce>other,mediterranean_oils>soy_derivative>wine_reduction>sweet_sauce>emulsion,,,Objectiu: líquid intens; evita bases molt aigualides
deshidratacio,Deshidratació creativa,molecular,baixa_o_mitjana_temp,Crear pols o cruixents retirant aigua dels ingredients,cruixent|pols,concentra_sabor|intensifica_dolçor,deshidratador|forn,fruita|verdura|lacti|altre|salsa,apta_per_vegans_si_sense_lacti,solid|semi_liquid,fruit|vegetable|dairy|plant_vegetal|sauce,green_leaf|root|fungus|tropical_fruit|general_fruit|dairy_cheese|dried_fruit|sweet_sauce,vegetable>fruit>plant_vegetal>dairy,green_leaf>fungus>dried_fruit>root>dairy_cheese,,,Objectiu: sòlids o purés; evita líquids purs
nitrogen_liquid,Nitrogen líquid,molecular,altissima,Refredament ultraràpid per textures extremes i cristalls fins,cruixent_exterior|cremosa_interior,baixa_amargor|potencia_sensacio_frescor,contenidor_nitrogen|pinces,postres|fruita|lacti|liquids|herbes,requereix_seguritat,solid|semi_liquid|liquid,fruit|dairy|plant_vegetal|sweet|sweetener,tropical_fruit|general_fruit|dairy_cream|dairy_yogurt|basic_dairy|aromatic_herb|aromatic_leaf,dairy>fruit>sweetener,dairy_cream>dairy_yogurt>tropical_fruit>general_fruit>aromatic_leaf,,,Objectiu: millor amb cremes i fruita; aromàtics només complement
